Date,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
04/10/2014,0.150,-90.625,25.8521,0.0000,5.2430,0
04/11/2014,0.150,-90.625,25.9551,0.0000,5.2430,0
04/12/2014,0.150,-90.625,27.0752,0.0095,5.2430,1
04/13/2014,0.150,-90.625,25.4846,0.0000,5.2430,1
04/14/2014,0.150,-90.625,26.9352,0.0000,5.2430,1
04/15/2014,0.150,-90.625,26.2697,0.0676,5.2430,1
04/16/2014,0.150,-90.625,26.8503,0.0000,5.2430,1
04/17/2014,0.150,-90.625,27.1533,0.0000,5.2430,1
04/18/2014,0.150,-90.625,25.6654,0.0000,5.2430,1
04/19/2014,0.150,-90.625,26.0766,0.0707,5.2430,1
04/20/2014,0.150,-90.625,26.8948,0.1064,5.2430,1
04/21/2014,0.150,-90.625,26.0321,0.0000,5.2430,1
04/22/2014,0.150,-90.625,27.1118,0.2785,5.2430,1
04/23/2014,0.150,-90.625,27.7373,0.5808,5.2430,1
04/24/2014,0.150,-90.625,27.5540,0.6288,5.2430,1
04/25/2014,0.150,-90.625,26.7496,0.5580,5.2430,1
04/26/2014,0.150,-90.625,27.0962,0.8383,5.2430,1
